ItemID,OutletID,TotalSales,Rating
FDX32,OUT049,145.4786,5.0
NCB42,OUT018,115.3492,5.0
FDR28,OUT046,165.021,5.0
FDL50,OUT013,126.5046,5.0
DRI25,OUT045,55.1614,5.0
FDS52,OUT017,102.4016,5.0
NCU05,OUT010,81.4618,5.0
NCD30,OUT045,96.0726,5.0
FDW20,OUT013,124.173,5.0
FDX25,OUT027,181.9292,5.0
FDX21,OUT027,109.8912,5.0
NCU41,OUT035,192.1846,5.0
FDL20,OUT018,112.3886,5.0
NCR54,OUT013,195.211,5.0
FDH19,OUT027,173.1738,5.0
FDB57,OUT035,222.1772,5.0
FDO23,OUT018,93.7436,5.0
NCB07,OUT049,197.611,5.0
FDJ56,OUT027,98.77,5.0
DRN47,OUT018,178.566,5.0
FDZ07,OUT027,60.2194,5.0
NCK31,OUT027,50.9666,5.0
FDJ41,OUT018,261.6594,5.0
DRI51,OUT018,173.1764,5.0
FDC40,OUT017,76.1986,5.0
FDB53,OUT017,150.2392,5.0
FDA16,OUT035,221.9456,5.0
FDO19,OUT027,47.4034,5.0
FDO04,OUT046,57.2614,5.0
FDL25,OUT049,93.1804,5.0
NCJ30,OUT046,167.779,5.0
NCQ41,OUT013,196.3794,5.0
DRJ35,OUT013,59.9878,5.0
NCE31,OUT013,35.4216,5.0
FDY09,OUT017,174.3054,5.0
FDZ04,OUT013,61.651,5.0
FDY07,OUT045,46.8402,5.0
FDO45,OUT045,88.6856,5.0
FDB09,OUT049,126.2046,5.0
FDP51,OUT046,119.6124,5.0
FDT50,OUT013,95.6752,5.0
FDQ08,OUT027,62.9536,5.0
DRL11,OUT045,159.0946,5.0
FDT34,OUT049,104.2964,5.0
FDP01,OUT010,150.5682,5.0
NCJ31,OUT013,239.2196,5.0
NCL30,OUT035,127.3336,5.0
FDF04,OUT049,256.3304,5.0
NCZ42,OUT049,235.5248,5.0
FDG24,OUT049,82.425,5.0
FDV49,OUT049,264.6226,5.0
FDX01,OUT049,114.915,5.0
DRF27,OUT049,152.234,5.0
FDF16,OUT049,147.2076,5.0
FDU04,OUT049,122.1414,5.0
FDP04,OUT049,62.7168,5.0
FDD05,OUT049,120.9098,5.0
FDV07,OUT049,111.1228,5.0
FDT20,OUT049,39.2164,5.0
FDC44,OUT049,111.9518,5.0
DRM59,OUT049,153.8998,5.0
DRG23,OUT049,153.3682,5.0
NCJ29,OUT049,84.7224,5.0
NCM42,OUT049,110.0912,5.0
NCY42,OUT049,144.947,5.0
NCX54,OUT049,107.7622,5.0
NCI06,OUT049,180.766,5.0
NCQ02,OUT049,186.9556,5.0
NCR38,OUT049,253.4724,5.0
NCM30,OUT049,41.9796,5.0
FDK43,OUT049,126.302,5.0
FDK21,OUT049,249.6408,5.0
FDR45,OUT049,239.2222,5.0
FDV09,OUT049,147.5734,5.0
FDU12,OUT049,261.7568,5.0
FDZ47,OUT049,99.8042,5.0
FDO11,OUT049,247.4092,5.0
FDU49,OUT049,85.554,5.0
FDA02,OUT049,145.4786,5.0
FDV26,OUT049,194.2794,5.0
FDA04,OUT049,257.2962,5.0
FDO52,OUT049,172.4106,5.0
FDA40,OUT049,87.0856,5.0
FDS27,OUT049,197.111,5.0
FDU15,OUT049,37.9532,5.0
FDV33,OUT049,259.2304,5.0
FDV34,OUT049,73.5038,5.0
FDX46,OUT049,59.1562,5.0
NCA53,OUT049,50.3034,5.0
FDT24,OUT049,78.2328,5.0
FDX27,OUT049,94.9436,5.0
NCQ38,OUT019,108.228,5.0
FDK02,OUT019,120.544,5.0
FDI15,OUT019,263.1884,5.0
